,Name,Goals,Lost Goals,Win,Lose,Draw,TotalMatch
0,France,106.0,71.0,30,21,8,207.0
1,USA,37.0,62.0,8,19,6,107.0
2,Yugoslavia,60.0,46.0,16,14,7,122.0
3,Romania,30.0,32.0,8,10,3,70.0
4,Argentina,131.0,84.0,44,24,9,259.0
5,Chile,40.0,49.0,11,16,6,100.0
6,Uruguay,80.0,71.0,21,19,11,172.0
7,Brazil,221.0,102.0,73,18,13,396.0
8,Paraguay,30.0,38.0,8,10,9,76.0
9,Austria,43.0,47.0,12,13,4,102.0
10,Hungary,87.0,57.0,15,14,3,159.0
11,Switzerland,45.0,59.0,11,17,5,115.0
12,Sweden,74.0,69.0,17,17,12,160.0
13,Germany,224.0,121.0,68,22,16,413.0
14,Spain,92.0,66.0,30,20,9,188.0
15,Italy,128.0,77.0,46,20,17,251.0
16,Czechoslovakia,44.0,45.0,11,14,5,100.0
17,Cuba,5.0,12.0,1,1,1,18.0
18,England,79.0,56.0,26,19,17,161.0
19,Turkey,20.0,17.0,5,4,1,42.0
20,Soviet,53.0,34.0,15,10,6,102.0
21,Northern,13.0,23.0,3,5,5,39.0
22,Mexico,57.0,92.0,14,27,12,163.0
23,Wales,4.0,4.0,1,1,3,9.0
24,Portugal,43.0,29.0,14,9,3,86.0
25,Korea,37.0,88.0,7,22,9,132.0
26,Peru,19.0,31.0,4,8,3,54.0
27,Belgium,52.0,66.0,15,18,8,133.0
28,Bulgaria,22.0,53.0,4,15,7,79.0
29,German,5.0,5.0,2,2,2,12.0
30,Zaire,0.0,14.0,0,3,0,14.0
31,Poland,44.0,40.0,15,11,5,99.0
32,Australia,11.0,26.0,2,8,3,39.0
33,Scotland,25.0,41.0,4,12,7,70.0
34,Netherlands,86.0,48.0,28,13,9,162.0
35,Haiti,2.0,14.0,0,3,0,16.0
36,Tunisia,8.0,17.0,1,7,4,26.0
37,Algeria,13.0,19.0,3,7,3,35.0
38,Honduras,3.0,14.0,0,6,3,17.0
39,Canada,0.0,5.0,0,3,0,5.0
40,Morocco,12.0,18.0,2,7,4,32.0
41,Iraq,1.0,4.0,0,3,0,5.0
42,Denmark,27.0,24.0,8,6,2,59.0
43,"rn"">United",2.0,11.0,0,3,0,13.0
44,Costa,17.0,23.0,6,7,2,46.0
45,Cameroon,18.0,43.0,4,12,7,65.0
46,"rn"">Republic",10.0,10.0,2,5,6,22.0
47,Colombia,26.0,27.0,7,9,2,60.0
48,Norway,7.0,8.0,2,3,3,17.0
49,Nigeria,20.0,26.0,5,10,3,51.0
50,Saudi,9.0,32.0,2,9,2,43.0
51,Bolivia,1.0,20.0,0,5,1,21.0
52,Russia,13.0,13.0,2,5,2,28.0
53,Greece,5.0,20.0,2,7,1,27.0
54,Jamaica,3.0,9.0,1,2,0,13.0
55,South,11.0,16.0,2,3,4,29.0
56,Japan,14.0,22.0,4,10,3,40.0
57,Croatia,21.0,17.0,7,7,2,45.0
58,China,0.0,9.0,0,3,0,9.0
59,Senegal,7.0,6.0,2,1,2,15.0
60,Slovenia,5.0,10.0,1,4,1,16.0
61,Ecuador,10.0,11.0,4,5,1,25.0
62,"rn"">Trinidad",0.0,4.0,0,2,1,4.0
63,"rn"">Serbia",2.0,10.0,0,3,0,12.0
64,Angola,1.0,2.0,0,1,2,3.0
65,Czech,3.0,4.0,1,2,0,8.0
66,Togo,1.0,6.0,0,3,0,7.0
67,Iran,5.0,12.0,1,4,1,18.0
68,C�te,13.0,14.0,3,5,1,30.0
69,Ghana,13.0,16.0,4,6,2,33.0
70,Ukraine,5.0,7.0,3,2,0,15.0
71,Serbia,2.0,3.0,1,2,0,6.0
72,New,4.0,14.0,0,3,3,18.0
73,Slovakia,5.0,7.0,1,2,1,13.0
74,IR,2.0,10.0,0,4,2,12.0
75,"rn"">Bosnia",4.0,4.0,1,2,0,9.0
